"ABSTIMMUNGSTAG","VORLAGE_KURZBEZ","STAT_VORLAGE_ID","ABSTIMMUNGSART_BEZ","ANNEHMENDE_GEBIETE","ABLEHNENDE_GEBIETE","JA_ANTEIL_PROZENT","Policy_Feld"
2002-09-22,"Elektrizitätsmarktgesetz",2105,"eidgenössisch",83,88,49.97,"Wirtschaft"
2002-09-22,"Volksinitiative «Überschüssige Goldreserven in den AHV-Fonds»",2103,"eidgenössisch",72,99,46.47,"Soziales"
2002-09-22,"Gold für AHV: Kantone und Stiftung (Gegenvorschlag zur Goldinitiative)",2104,"eidgenössisch",25,146,50.64,"Soziales"
2002-09-22,"Gold für AHV: Kantone und Stiftung (Stichfrage)",2115,"eidgenössisch",0,0,46.77,"Soziales"
2002-09-22,"Volksinitiative «Für eine geringere Besteuerung von Seniorinnen und Senioren»",2111,"kantonal",72,99,50.61,"Finanzen"
2002-09-22,"Gesetz über die Registrierung gleichgeschlechtlicher Paare",2110,"kantonal",153,18,62.7,"Kirche+Staat"
2002-11-24,"«Kantonsverfassung» (Schulpflege)",1,"kantonal",47,124,52.63,"Bildung"
2002-11-24,"«Volksschulgesetz»",2,"kantonal",32,139,47.75,"Bildung"
2002-11-24,"«Bildungsgesetz»",3,"kantonal",116,55,58.72,"Bildung"
2002-11-24,"Volksinitiative «gegen Asylrechtsmissbrauch»",2106,"eidgenössisch",129,42,50.56,"Migrarion"
2002-11-24,"«Kredit Fernwärmeerschliessung»",5,"kantonal",168,3,71.44,"Umwelt+Verkehr"
2002-11-24,"«Staatsbeiträge an Integrationskurse»",4,"kantonal",44,127,50.08,"Migrarion"
2002-11-24,"Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung",2107,"eidgenössisch",164,7,58.53,"Soziales"
2003-02-09,"Einführungsgesetz zum Schweizerischen Zivilgesetzbuch",6,"kantonal",158,13,56.54,"Andere"
2003-02-09,"Bewilligung über einen Staatsbeitrag für den Bau der Glattalbahn sowie für Strassenbauten im Glattal",7,"kantonal",161,10,66.62,"Umwelt+Verkehr"
2003-02-09,"Bundesbeschluss über die Aenderung der Volksrechte",194,"eidgenössisch",166,5,66.85,"Demokratie"
2003-02-09,"Bundesgesetz über die Anpassung der kantonalen Beiträge an Spitalbehandlungen",195,"eidgenössisch",170,1,79.01,"Gesundheit"
2003-05-18,"Volksinitiative ""für ein ausreichendes Berufsbildungsangebot (Lehrstelleninitiative)""",204,"eidgenössisch",3,168,34.82,"Bildung"
2003-05-18,"Volksinitiative ""MoratoriumPlus – Für die Verlängerung des Atomkraftwerk-Baustopps",203,"eidgenössisch",16,155,44.7,"Umwelt+Verkehr"
2003-05-18,"Volksinitiative ""Strom ohne Atom – Für eine Energiewende und die Stilllegung der Atomkraftwerke",202,"eidgenössisch",4,167,34.74,"Umwelt+Verkehr"
2003-05-18,"Volksinitiative ""für einen autofreien Sonntag pro Jahreszeit – ein Versuch für vier Jahre""",199,"eidgenössisch",7,164,42.22,"Umwelt+Verkehr"
2003-05-18,"Volksinitiative ""Gesundheit muss bezahlbar bleiben (Gesundheitsinitiative)""",200,"eidgenössisch",2,169,28.02,"Gesundheit"
2003-05-18,"Volksinitiative ""Gleiche Rechte für Behinderte""",201,"eidgenössisch",4,167,37.78,"Soziales"
2003-05-18,"Volksinitiative ""Ja zu fairen Mieten""",198,"eidgenössisch",4,167,33,"Soziales"
